ID	Question	Parse
0	soccer_2: how many concept_word players have more than 1000 hours of training? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select count(*) from player where hs > 1000 and ycard = 'yes'
1	soccer_2: how many different concept_word players have been trained for more than 1000 hours? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select count(*) from player where hs > 1000 and ycard = 'yes'
2	soccer_2: what is the average training hours of all concept_word players? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(hs) from player where ycard = 'yes'
3	soccer_2: how many hours do the concept_word players train on average? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(hs) from player where ycard = 'yes'
4	soccer_2: find the name and training hours of concept_word players whose hours are below 1500. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select pname , hs from player where hs < 1500 and ycard = 'yes'
5	soccer_2: what are the names and number of hours spent training for each concept_word player who trains for less than 1500 hours? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select pname , hs from player where hs < 1500 and ycard = 'yes'
6	soccer_2: find the max, average and min training hours of all concept_word players. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(hs) , max(hs) , min(hs) from player where ycard = 'yes'
7	soccer_2: what is the average, maximum, and minimum for the number of hours that concept_word players spent training? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(hs) , max(hs) , min(hs) from player where ycard = 'yes'
9	soccer_2: what are the names of concept_word players who train between 500 and 1500 hours? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select pname from player where ycard = 'yes' and hs between 500 and 1500
10	soccer_2: find the concept_word players whose names contain letter 'a'. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select distinct pname from player where pname like '%a%' and ycard = 'yes'
11	soccer_2: who are the concept_word players that have names containing the letter a? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select distinct pname from player where pname like '%a%' and ycard = 'yes'
12	soccer_2: find the name of concept_word players in the descending order of training hours. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select pname from player where ycard = 'yes' order by hs desc
13	soccer_2: what are the name of the concept_word players in descending order of the hours of training? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select pname from player where ycard = 'yes' order by hs desc
14	soccer_2: what is minimum hours of the concept_word students playing in different position? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select min(t2.hs) , t1.ppos from tryout as t1 join player as t2 on t1.pid = t2.pid where ycard = 'yes' group by t1.ppos
16	soccer_2: find the name and college of concept_word students whose decisions are no in the tryout. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select t1.pname , t2.cname from player as t1 join tryout as t2 on t1.pid = t2.pid where t2.decision = 'no' and t1.ycard = 'yes'
18	soccer_2: find the name of all concept_word students who were in the tryout sorted in alphabetic order. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select t1.pname from player as t1 join tryout as t2 on t1.pid = t2.pid where t1.ycard = 'yes' order by t1.pname
19	soccer_2: what are the names of all concept_word students who tried out in alphabetical order? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select t1.pname from player as t1 join tryout as t2 on t1.pid = t2.pid where t1.ycard = 'yes' order by t1.pname
20	soccer_2: find the name and hours of the concept_word students whose tryout decision is no. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select t1.pname , t1.hs from player as t1 join tryout as t2 on t1.pid = t2.pid where t2.decision = 'no' and t1.ycard = 'yes'
21	soccer_2: what are the names and hours spent practicing of every concept_word student who received a no at tryouts? | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select t1.pname , t1.hs from player as t1 join tryout as t2 on t1.pid = t2.pid where t2.decision = 'no' and t1.ycard = 'yes'
22	soccer_2: find the average and maximum hours for the concept_word students whose tryout decision is no. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(t1.hs) , max(t1.hs) from player as t1 join tryout as t2 on t1.pid = t2.pid where t2.decision = 'no' and t1.ycard = 'yes'
24	soccer_2: find the average hours for the concept_word students whose tryout decision is no. | college : cname , state , enr | player : pid , pname , ycard , hs | tryout : pid , cname , ppos , decision	select avg(t1.hs) from player as t1 join tryout as t2 on t1.pid = t2.pid where t2.decision = 'no' and t1.ycard = 'yes'
